reference_summary,generated_summary
"The appellants who are displaced persons from West Pakistan, were granted quasi permanent allotment of some lands in village Raikot in 1949.
On October 31, 1952, the Assistant Custodian cancelled the allotment of 14 allottees in village Karodian, and also cancelled the allotment of the Appellants in Raikot but allotted lands to them in village Karodian, and allotted the lands of Raikot to other persons.
The 14 allottees of village Karodian as well as the appellants applied for review of the orders of cancellation of their allotment.
The application of the 14 allottees was dismissed.
They preferred a revision to the Custodian General who cancelled the appellant 's allotment (1) Cal.
926. 329 in Karodian and restored the allotment of the 14 allottees on December 17, 1954 Thereupon,, on January 6, 1955, the appellants moved the Custodian General for calling up their review application and for revising the order of October 31, 1952, cancelling their allotment in Raikot.
The Custodian General refused to revise the order on the ground that his power to revise had been taken away by the .
The appellants contended that the, Custodian General had the power to revise the order.
Held, that after the enactment of the, , the Custodian General ceased to have the power to cancel allotments.
By, the issuing of a notification under, section 12(1) of this Act, the Fight, title or interest of the evacuee in the property specified in the notification was extinguished and the property vested absolutely in the Central.
Government.
The right of the Custodian manage the property under the , came to an end and the management vested in a new set of officers.
Even though no managing officer was appointed or a managing corporation, constituted under the new Act to manage the property no one else could 'exercise the power of cancellation of allotment.
Bal Mukund vs The State of Punjab, I.L.R. 1957 Punj.
712, approved.
"," The appellants were granted quasi permanent allotment of 24 standard acres and 15 3/4 units in the village of Raikot in Ludhiana District in 1949. Their father Sardar Nand Singh who was 42 330 found entitled to quasi permanent. allotment. was given quasipermanent allotment in another village named Humbran in the same district. The two villages are, however, 25 miles or so distant from each other."
"The appellants and the respondents were owners of adjoining collieries and the suit out of which the present appeal arose was one brought by the respondents for certain reliefs on the allegation that the appellants had encroached upon their coal mines and removed coal from the encroached portion and that they came to know of the said encroachment and removal of coal after they had received the letter dated August 18, 1941, from the Inspector of Mines.
The appellant denied the encroachment and pleaded that the suit was barred by limitation inasmuch as the respondents had knowledge of the encroachment in 1932 then there was a survey by the Department of Mines.
The trial judge found on evidence that the proceedings in 1932 had nothing to do with the matter, held that article 48 of the Limitation Act applied to the suit and that the appellants had failed to prove that the respondents had knowledge of the sinking of the quarries and pits in the encroached land and decreed the suit.
The High Court on appeal accepted the finding of the trial court and although it placed the burden of proving knowledge on the part of the respondents beyond the prescribed time on the appellants, nevertheless proceeded on the assumption that the initial burden to prove that they had knowledge of the said encroachment within the period was on the respondents and affirmed the decree of the trial court.
Held, that the burden of proof had not been misplaced.
Under article 48 of the Indian Limitation Act, which prescribes a three years ' limitation from the date of the knowledge, the initial onus is obviously on the plaintiff to prove that date since it would be within his special knowledge.
Moreover, under section 3 of the Act, which makes its obligatory on the court to dismiss a suit barred by limitation, even though such a plea is not set up in defence, it is for the plaintiff to establish that the suit is not so barred.
Lalchand Marwari vs Mahant Rampur Gir, pat.
(P.C.) 312 and Rajah Sahib Perhalad Seim vs Maharajah Rajender Kishore Singh, (1869) 12 M.I.A. 292, referred to.
Under the there is an essential distinc tion between burden of proof as a matter of law and pleading and as a matter of adducing evidence and under section 101 of the 493 Act the burden in the former sense is always on the plaintiff and never shifts, but the burden in the latter sense may according to the evidence led by the parties and presumptions of law or fact raised in their favour.
Sundarji Shivji vs Secretary of State for India, Pat. 752, disapproved.
Kalyani Prasad Singh vs Borrea Coal Co. Ltd., A.I.R. 1946 Cal.
123, Bank of Bombay vs Fazulbhoy Ebrahim, and Talyarkhan vs Gangadas, Bom.
848,approved.
Held, further, that it is well settled that a map referred to in a lease is a part of the lease.
Where, therefore, the map is drawn to scale and clearly demarcates the boundary it is not permissible to ignore it and reconstruct the boundary with reference to the revenue records.
Darapali Sadagar vs jajir Ahmad, Cal. 394, referred to.
"," Appeal from the judgment and decree dated April 22, of 1953, of the Patna High Court in Appeal from Original Decree No. 162 of 1946. The High Court of Patna accepted all the findings of the learned Subordinate Judge and dismissed the appeal. The plaintiffs and the defendant are adjoining colliery owners at Kujama. The plaintiffs made an inquiry and came to know that the defendants had encroached upon their coal mines."
"The respondents firm claimed exemption from Sales Tax under article 286(i)(b) of the Constitution in respect of sales 925 made by them of cotton and castor oil on the ground that the sales were on F.O.B. contracts under which they continued to be the owners of the goods till those crossed the custom barrier and entered the export stream.
They also contested the purchase tax to which they were assessed under section 10(b) of the Bombay Sales Tax Act.
The High Court upheld the contention of the respondents regarding the Sales Tax but held that they were liable to pay purchase tax.
On appeal by both the parties Held, that the goods remained the seller 's property till those had been brought and loaded on board the ship and so the sales were exempted from tax under article 286(i) of the Constitution.
The word "" a person "" in section 10(b) of the Bombay Sales Tax Act had been correctly interpreted as "" a registered dealer "" and the purchasing dealers had been rightly assessed to purchase tax.
The normal rule in F. 0.
B. contracts was that the property was intended to pass and did pass on the shipment of the goods.
The presumption in F. 0.
B. contracts was that it was the duty of the buyer to obtain the necessary export licence, though in the circumstances of a particular case that duty might fall on the seller.
H.O. Brandt & Co. vs H. N. Morris & Co. Ltd., [1917] 2 K.B. 784 and M. W. Hardy & Co. vs A. V. Pound & Co., Ltd., (1953) 1.Q.B. 499, considered.
""Export "" under the Import and Export Control Act having been defined as "" taking out of India by land, sea or air "" it could not, under the Export Control Order, be held to have commenced till the ship carrying the goods left the port or in some cases passed the territorial waters.
The State of Bombay vs The United Motors (India) Ltd., (1953) 4 S.T.C. 133, held inapplicable.
"," Appeals Nos. 45 and 46 of 1959. 927 learned Judges who heard the appeal held, disagreeing with the Trial Judge, that the goods remained the sellers'property till the goods had been brought on board the ship. The Sales Tax Officer rejected this claim for exemption and assessed them to sales tax on a taxable turnover including these sales of cotton and castor oil."
"The appellant was tried for murder.
The facts established were that there were quarrels between the appellant and the deceased over the purchase of a cycle and in a play of cards that the appellant had purchased a sword a day earlier and that he had deposited the sword stained with human blood at the police station shortly after the murder.
Evidence was also led of an extra judicial confession made by the appellant to one U but the High Court did not place reliance on it as it did not feel sure of it though it observed that a perusal of the statement of U showed that it was very likely that what he stated may have happened.
^ Held, that the statement of U regarding the extra judicial confession was erroneously rejected by the High Court.
Extra judicial confessions were not usually considered with favour but such a confession coming from a person who had no reason to state falsely and to whom it was made in circumstances which tended to support his statement could be relied upon.
The extra judicial confession in the present case was supported by the facts established, and these together fully established the guilt of the appellant.
"," The Allahabad High Court dismissed the appeal and confirmed 204 his conviction and sentence of death. The prosecution case, in brief, is that due to enmity, the appellant caused injuries to Sheo Sahai, who was sleeping in his cattle shed in village Bhadurpur Ghar, with a sword. The High Court did not rely on this extra judicial confession."
"S, employed by the appellant as a cross cutter in the saw mill was asked to show cause why his services should not be terminated on account of grave indiscipline and misconduct and he denied the allegations of fact.
He was thereafter informed about a department enquiry to be held against him and was suspended pending enquiry.
Purporting to act under r. 18(a) of the Standing Orders, the appellant terminated the services of S, without holding any departmental enquiry.
The industrial tribunal to which the dispute was referred held, that action taken, after dropping the proposed departmental proceedings was not bonafide and was a colourable exercise of the powerconferred under r. 18(a) of the Standing order and since no attempt was made before it to defend such action by proving the alleged misconduct, it passed an order for reinstatement of S, The appellant contended that as the termination was strictly in accordance with the terms of contract under r. 18(a) of the Standing Orders, it was entitled to dispense 823 with the service of an employee at any time by first giving 14 days notice or, paying 12 days wages.
^ Held, that the employer 's decision to discharge the employee under r. 18(a) of the Standing Orders after dropping the enquiry intended to be held for misconduct was clearly a colourable exercise of the power, and an employer could not press his right purely on contract and say that under the contract he has unfettered right ""to hire and fire"" his employees, right was subject to industrial adjudication and even a power like that granted by r. 18(a) of the Standing orders in this case was subject to the scrutiny of industrial courts.
Even in a case of this kind the requirement of bona fides was essential and if the termination of service was a colourable exercise of power, or was a result of victimisation or unfair labour practice, the tribunal had jurisdiction to intervene and set aside such termination.
Buckingham and Carnatic Co. Ltd. vs Workers of the Company, , referred to.
The Chartered Bank Bombay vs The Chartered Bank Employees Union. ; and Assam Oil Company vs Its Workmen, [1960] 3 S.C.R. 457, followed.
Held, further, that the principle relating to termination of Government service stands on an entirely different footing as compared to industrial employees and the same principle could not be applied to industrial adjudication.
Parshotaa Lal Dhingra vs Union of India, ; , distinguished.
", An appeal by special leave in an industrial matter was delivered by WANCHOO. J.J. in I.D. No. 89 of 1958. The appellant terminated the services of Sankaran under r. 18 (a) of the Standing Orders without holding any departmental inquiry. The tribunal was of the view that this was a colourable exercise of the power.
"The appellant, a postman, and I,is father were living in the same house.
Certain undelivered postal articles were re covered from an almirah in the house, the key of which was produced by the father.
The appellant was tried and convicted of an offence under section 52 Post Offices Act for secreting postal articles.
The appellant contended that since it had not been proved that he had been entrusted with these articles the offence under section 52 was not made out and that lie could not be held guilty of secreting as he was not in exclusive possession of these articles.
Held, that entrustment was not an essential ingredient of the offence under section 52.
Where the legislature intended to make entrustment an ingredient of the offence it had used appropriate words to make it clear.
It had used no such words in section 52.
To secrete means to hide.
In a case like the present, the retention of an undelivered postal article in an almirah for an inordinately long period would be tantamount to hiding that article.
Held, further, that the appellant was not in exclusive possession of the postal articles and no inference could be drawn 409 that he had secreted them.
As the key was produced by the appellant 's father it could not be inferred that the appellant was in joint possession of the almirah much less that he was in exclusive possession of it.
No inference could be drawn from the fact that the almirah contained certain other articles belonging to the appellant as it also contained a large number of articles belonging to the father.
"," Appeals Nos.160 to 162 of 1960 were delivered by MUDHOLKAR, J. C. Misra and P. K. Chakravarti. The three appeals arise out of three separate trials before the Additional Sessions judge, Bulandshahr, but were argued together as they arise identical questions."
"Sub section (1) of section 24B of the Indian Income tax Act, 1922, provided that where a person dies his heirs and legal representatives ate liable to pay out of the estate of the deceased the tax assessed as payable by the deceased or any tax which would have been payable under the Art by the deceased if he had not died.
A who, was one of the three partners in a firm of solicitors died.
on July 7,1949, and thereafter the partnership was carried on by the other two partners till December 1, 1949.
when R, son of A, joined the firm as the third partner.
After the death of A the arrangement between the various partners in regard to the ' realisations of the old out standings was that in respect of the work done up to the death of A the realisations were to be divided between A and the other two partners.
The firm 700 kept its accounts on cash basis For each of the five assessment years, 1950 1955, certain amounts were received by the heirs and legal representatives of A out of the out standings.
Proceedings were started by the Income tax Officer under section 34 of the Indian Income tax Act, 1922, in respect of the aforesaid.
income, and the various amounts were assessed to income tax in the hands of the respondents, the heirs and legal representatives of A, under section 34 (1) (b) read with section 24B of the Act, for the five respective assessment years, on the footing that the amounts which were received by the heirs and legal representatives of A after his death should be deemed by virtue of the words in sub section
(1) of section 24B to be income received by A and liable to tax under that sub section.
Held, that the words ""or any tax which would have been payable by him under this Act if he had not died"" under section 24B(1) of the Indian Income tax Act, 1922, are restricted to the income received by the deceased person before his death and to the income received after his death by his heirs and legal representatives in the ""previous year"" and which had not been assessed but would have been assessed as income received by him, if death had not taken place.
The provisions of section 24B do not extend to tax liability of the estate of a deceased person beyond the previous or the account year in which that person dies.
Apart from section 24B no assessment can be made in respect of the income of a person after his death.
Held, that as the income was received after the expiry of the previous year in which A died it was not liable to be taxed as the income of A in the hands of his legal representatives in the several years of assessment.
Allen vs Trehearne, , Ellis C Reid vs Commissioner of Income tax Bombay, and Wallace Brother & Co. Ltd. vs Commissioner of Income tax, Bombay City, [1948] 16 , referred to.
"," Amarchand N. Shroff, Mangaldas and Hiralal were partners in a firm of solicitors. The firm kept its accounts on cash basis. The Income tax Officer sought to tax these realisations. The amounts were assessed to income tax in the hands of the respondents under section 34(1) (b) read with section 24B."
"By section 25 (4) of the Income tax Act, ""Where the person who was at the commencement of the Indian Income tax (Amendment) Act, 1939.
carrying on any business, profession or vocation in which tax was at any time charged under the provisions of the Indian Income tax Act, 1918, is succeeded in such capacity by another person, the change not being merely a change in the constitution of a partnership, no tax shall be payable by the first mentioned person in respect of the income, profits and gains of the period between the end of the previous year and the date of such succession."" A firm bearing the same name as the appellant firm, had been carrying on business from before 1918 and had paid tax on that business under the Income tax Act, 1918.
The firm did three kinds of businesses, namely, (a) in piece goods, yam as general merchants, 92 (b) in the manufacture and sale of umbrellas and (c) in the manufacture and sale of soaps.
There were various changes in the constitution of the firm between 1918 and 1934.
In May 1939 two, documents were executed, one by the then members of the firm, and a stranger H. being exhibit CI and the other by those members alone,.
being exhibit CII.
It appeared from exhibit CI that the business in the manufacture and sale of umbrellas and soaps was being carried on from October November 1937 by the parties to it as partners while exhibit CII showed that the parties to it had been carrying on the business in yarn piecegoods and as general merchants as partners from the same time as mentioned in exhibit Cl.
On October 30.
1943 a document styled as an agreement of partnership was executed by five persons who were then the persons interested in the businesses carried on under the instrument of May 30, 1939.
This document referred to the two, agreements of partnership of May 30, 1939 and certain subsequent retirements of partners and admissions of new partners and provided that the businesses previously carried on by the two partnerships.
referred to in the instruments of May 30, 1939, would thereafter be carried on by one single partnership constituted by the parties to it.
Thereafter all the businesses aforesaid were carried on by this single partnership.
The firm constituted by the instrument of October 30, 1943 continued with certain changes in its constitution till February 7, 1948 when the then partners of, it entered into an agreement with a company to transfer the business of the firm to the latter, the transfer to be completed by February 13, 1948 and the transfer was in fact made.
The firm constituted by the document of October 30, 1943 claimed relief under section 25(4) in assessment for the years 1948 49 and 1949 50 on the ground that it had been carrying on a business on April 1, 1939 when the Income tax (Amendment) Act, 1939 commenced; to operate on which business tax had been charged under the Act of 1918 and that it was succeeded in that business by a company in February 1948.
Held: (per Sarkar and Shah JJ.).
The assessee was not entitled to the relief.
Cl and CII showed that the business that had been carried on by the firm existing in 1918 was discontinued in October/November 1937 and its businesses were split up into two and from then carried on by two independent partnerships brought into existence by those documents.
The old firm was brought to an end by Exs.
Cl and CII.
When a business carried on in one unit is disintegrated and divided into parts, the parts are not the whole, though all the parts taken together constitute the whole.
In such case there is a discontinuance of the original businesses.
section N. A. section A. Annamalai, Chettiar vs Commissioner of Income tax, Madras, referred to.
93 The business on which tax had been charged under the Act of 1918 was not being carried on April 1, 1939 by the firm which had paid tax under that Act.
The business to which the company succeeded under the agreement ,of February 7, 1948 cannot before the succession be said to have been carried on by a firm which was carrying on business on April 1, 1939, for that firm had been newly formed under the instrument of ,October 30, 1943, which expressly revoked the partnership agreements of May 30, 1939 under which two firms had been brought into brought into existence.
Per, Hidayatullah J. (dissenting) (i) Sub sections
(3) and (4) of section 25 ,of the Act are mutually exclusive . sub section
(3) was only applicable when the business was discontinued and that in the term ""succession"" was not to be included a change in the constitution of the partnership.
In sub section
(4) the emphasis is on succession to a person who on April 1, 1939 was carrying on any business on which tax was at any time ,charged under the Act 1918.
In sub section
(3) the emphasis is on the discontinuance of the business which had paid tax under the Act 1918.
(ii) There is difference of approach to the same facts under the law of partnership and the Income tax law.
Charandas vs Haridas, (1960)39 and Dulichand vs ,Commissioner of Income tax, Nagpur, [1956] S.C.R. 154, referred to.
(iii) Discontinuance of a firm is not a mere change in the constitution of the firm or even succession where, though the business changes hands, the original business which paid the tax in 1918 is carried on.
Shivram Poddar vs Income tax, Officer, C. A. No. 455 of 1963 dated December 13, 1963, referred to.
(iv) All cases of discontinuance of businesses are treated under sub section
(3) and all cases of succession under sub section
(4) and all cases of mere change in the constitution of the firm are neither cases under sub section
(3) nor under sub section
These sub sections do not apply to cases where the business was not in existence before the Act 1922 came into force.
Ambalal Himatlal vs Commissioner of Income tax and Excess Profits Tax, Bombay North, , referred to.
(v) Since the soap and umbrella businesses were not in existence and no relief could be claimed in respect of these businesses, changes in respect of them were irrelevant.
(vi) by the expression ""discontinued"" in sub section
(3) is meant complete cessation of business.
In the present case it could be said that this had taken place in respect of the piece goods business; this might 94 have been managed by persons other than those who had paid the tax under the 1918 Act, but the business was not discontinued for the application of sub section
Commissioner of Income tax, Bombay vs P. E. Polson, (1945)13 Commissioner of Income tax, West Bengal vs A. W. Figgies and Co. ; and Mevoppar vs Commissioner of Income tax, Madras, 1.
L. R. referred to.
(vii) In the present case there was no succession and it falls within the rule laid down by this Court in Figgies ' case.
(viii) Though a firm was to be regarded as an entity for the purpose of the Income tax Act, that entity was not to be taken to be disturbed by the coming in or going out of partners.
Applying the test to the present case it was held that the identity of the entity was never lost and there was never a succession till the year 1948.
No question of the dissolution of the old firm in piece goods business ever arose.
It continued right through, even other newly started businesses were owned by it.
It cannot be said that the old firm had either discontinued or had been succeeded by another person.
Hemchand was a mere employee though described as a partner.
The entry of Hemehand did not constitute a dissolution of the old firm.
Commissioner of Income tax, Bombay City vs Kolhia Hirdagarh, Co. Ltd., Bombay, (1949) 17 ; and Commissioner of Income tax, Bombay City vs Sir Homi Metters Executor, , referred to.
(ix) The appellants are entitled to succeed in their claim regarding the business in piece goods yarn and banking which alone had paid tax under the 1918 Act.
"," Appeals, Nos. 275 276 of 1963. The Kerala High Court in Income tax Referred case No. 98 of 1955(M) The High Court held that the appellant was not entitled to any relief under section 25(4) of the Income tax Act, 1922. The case was heard together by the High Court and disposed of by one judgment."
"In 1947, the Dholpur State acceded to the Dominion of India.
Later on, it was merged with other States and as a result of that merger, the Matsya Union was formed on March 18, 1948.
One of the provisions of the merger agreement was that the existing laws in the Covenanting States were to be continued till such time as they were modified or repealed by the new State and that all the assets and liabilities of the Covenanting States were taken over by the new State.
Later on, the Matsya Union was merged with the United State of Rajasthan which had come into existence from April 7, 1949.
A similar provision with regard to the recognition of the liabilities of the Covenanting States by the new State was also provided.
On January 26, 1950, Part B State of Rajasthan came into existence.
In the four appeals the respondents secured permits from the Dholpur State for the export of certain commodities and they had to pay export duties in advance.
As the respondents could not export the full quantity for which they had secured permits they asked the appellant to refund the excess export duty and when the latter refused to do so, filed suits for refund of the same with interest.
The defence taken up by the appellant was that it was not bound by any liability which might have arisen against the former State of Dholpur.
It was a new Sovereign and was not bound by any liability of the former State of Dholpur unless it chose to recognise the obligation but no such obligation was recognised in the present case.
One suit was dismissed by the trial court and other three were decreed.
The appeals of the State to the District Judge were substantially dismissed while the appeal in the first suit by the plaintiff was substantially allowed.
The State filed appeals to the High Court.
After referring the matter to the Full Bench, a Division Ben oh of the High Court dismissed the appeals filed by the State.
The Appellant came to this Court after obtaining certificate of fitness from the High Court.
The only question raised before this Court was about the liability of the State of Rajasthan under article 295(2) of the Constitution in respect of the obligations of the former State of Dholpur which came to be included in the State of Rajasthan.
Dismissing the appeals, Held, that the new State by continuing the old laws without change till they were repealed or altered, recognised that it was liable in the same way as the merging State would have been in any case.
Throughout the process of integration from 1948 to 1950, the new Sovereign must be taken to have recognised the rights of the subjects and undertaken the liabilities 175 of the old State.
So under article 295(2) of the Constitution, the State of Rajasthan was liable to meet the liabilities of all old States which eventually were merged into it.
Moreover, there was nothing to show that the right to claim the refund was taken away by any law competently passed.
M/s Dalmia Dadri Cement Co. Limited vs The Commissioner of Income tax [1959], S.C.R. 729 and Maharaja Shree Umaid Mill Limited vs Union of India, A.I.R. 1953, S.C. 953 referred to.
"," Appeals Nos. 884 887 of 1962 upheld by Rajasthan High Court in Civil Second Appeal Nos.268 of 1954, 203 of 1955, 4 of 1954 and 27 of 1954. The case relates to a time before the merger of former Dholpur State into the Matsya Union."
"In pursuance of an award made by an Industrial Tribunal fixing the pay of the employees at Rs. 2/2/ per day, the management of the appellant had entered into an agreement with its workmen, that the effect would be given to the wage structure prescribed by the said award.
In spite of the award and the agreement, the appellant paid its employees only As.
/10/ per day and that led to the present claim made by the respondents under section 15 of the Payment of Wages Act.
They asked for an order from the payment of wages authority directing the appellant to pay the said prescribed wages.
Against the respondent 's claim it was urged by the appellant that section 15 of the Act was inapplicable, because the rates of wages fixed by the award did not fall within the definition of wages prescribed by section 2(vi) of the Act.
The authority rejected the appellant 's contention.
The appellant then challenged the correctness of the conclusion of the authority before the High Court under article 226 of the Constitution.
The High Court dismissed the writ petition and affirmed the finding of the authority.
It held that section 15 was applicable to the case, because the wages prescribed by the award did amount to wages as defined by section 2(vi) of the Act.
On appeal by Special Leave the appellant contended that before it is held that the wages prescribed by the award fall under section 2(vi), it must be shown that they constitute part of the terms of the contract of employment, either express of implied.
Held: The argument is not well founded.
When an award is made and it prescribes a new wage structure, in law the old contractual wage structure becomes inoperative and its place is taken by the wage structure prescribed by the award.
In a sense, the latter wage structure must be deemed to be the contract between the parties, because that, in substance, is the effect of industrial adjudication.
The true legal position is that when industrial disputes are decided by industrial adjudication and awards are made, the said awards supplant contractual terms in respect of matters covered by them and are substituted by them.
That being so, it is difficult to hold that the wages prescribed by the award cannot be treated as wages under section 2(vi) of the Act before it was amended.
The amendment has merely clarified what was included in the unamended definition itself.
South Indian Bank Ltd. vs A. R. Chacko, A.I.R, 1964 S.C. 1522, referred to.
Jogindra Nath Chatterjee and Sons, V. Chandreswar Singh, A.I.R., , inapplicable.
Modern Mills Ltd. vs V. R. Mangalvedhikar, A.I.R., 1950 Bom.
342 and V. B. Godse, Manager, Prabha Mills Ltd. vs R. M. Naick , approved L/P(D)lSCI 14(a) 420
"," The term ""wages"" as defined by section 2(vi) of the (No. 4 of 1936) (hereinafter called 'the Act ') includes wages fixed by an award in an industrial dispute between the employer and his employees. The appellant, Sasamusa Sugar Works Ltd., and its workmen, the respondents, had an award made by an Industrial Tribunal fixing the pay of the employees at Rs. 2/2/ per day."
